name,rating
Earthlings,2
CHiPS,2
Jennifer's Body,4
Straight Outta Compton,4
Wild Child,4
Accepted,4
She's the Man,4
Kill Bill: Vol. 1,2
The Matrix,3
The Social Network,4
Pirates of the Caribbean: At World's End,4
Sausage Party,4
Transformers,4
Titanic,4
The Wolf of Wall Street,3
Pirates of the Caribbean: On Stranger Tides,4
Frozen,2
The Other Woman,3
The Hot Chick,4
Selena,4
Blackfish,4
Easy A,4
Get Out,4
Juno,3
Love Actually,3
Fantastic Beasts and Where to Find Them,2
Elf,3
The Hunger Games,2
Toy Story 3,3
Harry Potter and the Deathly Hallows: Part 2,2
Pride &amp; Prejudice,2
John Tucker Must Die,4
The Devil Wears Prada,4
13 Going on 30,4
Clueless,4
Superbad,3
Drive,3
Dumb and Dumber,3
American Sniper,2
Avatar,2
Legally Blonde,4
The Fast and the Furious,3
Austin Powers: International Man of Mystery,3
Mean Girls,4
The Notebook,2
